date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:39	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company.120d.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:39	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia.120e.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:39	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/press_center	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/press_center.120f.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:39	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/career	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/career.1210.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:39	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/drivingchange	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/drivingchange.1211.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:39	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/cashapp	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/cashapp.1212.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:40	27338/27338	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:38%20GMT	http://www.dpd.com/sk/business_customers/products_services/express_services	C:/My%20Web%20Sites/courier/www.dpd.com/sk/business_customers/products_services/express_services.html	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:40	233/233	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2017:58:40%20GMT	http://www.dpd.com/sk_en/home	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:40	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/o_dpd/infocentrum/na_stiahnutie	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/o_dpd/infocentrum/na_stiahnutie.1214.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:41	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/contact	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/contact.1216.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions)
18:58:42	11650/11650	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:40%20GMT	http://www.dpd.com/sk_en/layout/set/print/business_customers/products_services/express_services	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/layout/set/print/business_customers/products_services/express_services.html	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:42	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/options	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/options.1218.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions)
18:58:42	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/solutions	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/solutions.1219.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions)
18:58:42	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company.121a.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions)
18:58:42	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia.121b.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions)
18:58:42	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/press_center	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/press_center.121c.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions)
18:58:42	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/career	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/career.121d.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions)
18:58:42	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/drivingchange	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/drivingchange.121e.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions)
